date,pr_CA_mmday,tas_CA_C,nino34,enso_phase,source_id,month,year
1889-12-16 12:00:00,0.8266151919897726,3.485088860709425,-0.5112282208421334,La Nina,GFDL-ESM4,12,1889
1890-01-16 12:00:00,2.7171414778098977,6.812730364964409,-0.6075762478930755,La Nina,GFDL-ESM4,1,1890
1890-02-15 00:00:00,2.3514555070392635,6.825277253151285,-0.6895729484903086,La Nina,GFDL-ESM4,2,1890
1890-03-16 12:00:00,2.99012936879626,9.414061326849549,-0.8183149784685725,La Nina,GFDL-ESM4,3,1890
1890-04-16 00:00:00,2.0821617664178818,10.356644149130602,-0.9201667508500464,La Nina,GFDL-ESM4,4,1890
1890-05-16 12:00:00,2.0080371076662664,12.652238016103581,-0.9458390656840152,La Nina,GFDL-ESM4,5,1890
1890-06-16 00:00:00,0.3886062781470265,18.912046451120204,-1.0638185727429346,La Nina,GFDL-ESM4,6,1890
1890-07-16 12:00:00,0.1741111051974975,21.065193664914375,-1.1142966057640364,La Nina,GFDL-ESM4,7,1890
1890-08-16 12:00:00,0.05476113509554491,22.05391347861837,-1.1273789840468111,La Nina,GFDL-ESM4,8,1890
1890-09-16 00:00:00,1.0802606432418536,18.359140886521402,-1.1918429811261375,La Nina,GFDL-ESM4,9,1890
1890-10-16 12:00:00,1.254253394958775,11.4267683508466,-1.2349275403283628,La Nina,GFDL-ESM4,10,1890
1890-11-16 00:00:00,2.6567273766323387,8.435235754487337,-1.1960470954560152,La Nina,GFDL-ESM4,11,1890
1890-12-16 12:00:00,3.129820025130577,4.551721403467184,-1.203795219754511,La Nina,GFDL-ESM4,12,1890
1891-01-16 12:00:00,2.782814661479783,3.5587475947177722,-1.0686079255531808,La Nina,GFDL-ESM4,1,1891
1891-02-15 00:00:00,1.6686058371133148,6.093745631524143,-0.8594370739328042,La Nina,GFDL-ESM4,2,1891
1891-03-16 12:00:00,4.261508958750283,4.792645331900758,-0.5383971486431506,La Nina,GFDL-ESM4,3,1891
1891-04-16 00:00:00,1.7623628824599684,10.26931914625112,-0.36942532042132825,Neutral,GFDL-ESM4,4,1891
1891-05-16 12:00:00,0.9043308225917084,14.496483228123168,-0.24114943375820985,Neutral,GFDL-ESM4,5,1891
1891-06-16 00:00:00,0.33510733244269114,19.19930223419732,-0.22115420995189652,Neutral,GFDL-ESM4,6,1891
1891-07-16 12:00:00,0.7329906511321106,21.81079234784488,-0.22183504743421736,Neutral,GFDL-ESM4,7,1891
1891-08-16 12:00:00,0.1758094340827769,22.896667624482177,-0.38458586601041134,Neutral,GFDL-ESM4,8,1891
1891-09-16 00:00:00,0.16113066747088417,17.792521115553768,-0.523017562515031,La Nina,GFDL-ESM4,9,1891
1891-10-16 12:00:00,1.488828145657414,15.913734700489442,-0.6408802881237079,La Nina,GFDL-ESM4,10,1891
1891-11-16 00:00:00,0.3275369896547376,9.91556438057546,-0.6436890921576491,La Nina,GFDL-ESM4,11,1891
1891-12-16 12:00:00,1.9959138060903294,5.42432458159152,-0.6744567622729505,La Nina,GFDL-ESM4,12,1891
1892-01-16 12:00:00,1.9633435366172531,4.870469879790164,-0.5493963089380373,La Nina,GFDL-ESM4,1,1892
1892-02-15 00:00:00,3.5695375237641622,4.624199450325932,-0.43087682398612515,Neutral,GFDL-ESM4,2,1892
1892-03-16 12:00:00,1.8516192565114022,8.436003469884099,-0.4008179928101754,Neutral,GFDL-ESM4,3,1892
1892-04-16 00:00:00,1.4799445464314362,10.599182526536765,-0.3711291546164489,Neutral,GFDL-ESM4,4,1892
1892-05-16 12:00:00,0.5365074426624717,15.457244441651142,-0.27634863362866324,Neutral,GFDL-ESM4,5,1892
1892-06-16 00:00:00,0.7629279782069452,15.914827268518877,-0.2822467912103207,Neutral,GFDL-ESM4,6,1892
1892-07-16 12:00:00,0.24949886271669836,20.395902321328265,-0.31403121128197425,Neutral,GFDL-ESM4,7,1892
1892-08-16 12:00:00,0.2460739177849786,22.664955948946158,-0.22950885618893152,Neutral,GFDL-ESM4,8,1892
1892-09-16 00:00:00,0.1337319642654615,18.4738358184685,-0.17100772323866523,Neutral,GFDL-ESM4,9,1892
1892-10-16 12:00:00,2.2743324444425768,12.561738964410665,-0.11063749236193417,Neutral,GFDL-ESM4,10,1892
1892-11-16 00:00:00,2.3020559853525984,8.016413056831823,-0.1218286719136131,Neutral,GFDL-ESM4,11,1892
1892-12-16 12:00:00,2.6162955085062505,4.879219903412718,-0.035768449099896314,Neutral,GFDL-ESM4,12,1892
1893-01-16 12:00:00,1.3799517083079875,1.0969505432678375,0.015934375523420384,Neutral,GFDL-ESM4,1,1893
1893-02-15 00:00:00,0.17522103083366536,7.3196614739986785,0.06422877937345675,Neutral,GFDL-ESM4,2,1893
1893-03-16 12:00:00,3.1575537712608144,8.554271399415086,-0.10946266177661527,Neutral,GFDL-ESM4,3,1893
1893-04-16 00:00:00,3.20911038549831,8.648681776312003,-0.2667756174824831,Neutral,GFDL-ESM4,4,1893
1893-05-16 12:00:00,1.697883943300051,13.954482501002474,-0.5148312780642641,La Nina,GFDL-ESM4,5,1893
1893-06-16 00:00:00,0.3143124768278761,17.11641674700593,-0.7688747756454859,La Nina,GFDL-ESM4,6,1893
1893-07-16 12:00:00,0.141202174116754,21.61910208617701,-1.008677483899703,La Nina,GFDL-ESM4,7,1893
1893-08-16 12:00:00,0.08376491259365822,22.649141759442955,-1.2091182727974228,La Nina,GFDL-ESM4,8,1893
1893-09-16 00:00:00,0.4816113281086892,20.597786339920106,-1.3721088519321711,La Nina,GFDL-ESM4,9,1893
1893-10-16 12:00:00,2.1657144419549725,10.93574425309481,-1.4067245795593522,La Nina,GFDL-ESM4,10,1893
1893-11-16 00:00:00,1.677294994634388,6.71536960589566,-1.4004621954588743,La Nina,GFDL-ESM4,11,1893
1893-12-16 12:00:00,1.6582593359910103,6.10546354103235,-1.4426375304619454,La Nina,GFDL-ESM4,12,1893
1894-01-16 12:00:00,1.256203471225704,5.9142122344075005,-1.3226460746843713,La Nina,GFDL-ESM4,1,1894
1894-02-15 00:00:00,0.7816144751781123,9.443685301976132,-1.0845103665059128,La Nina,GFDL-ESM4,2,1894
1894-03-16 12:00:00,3.9603387981340332,6.734987354232942,-0.9096824165821544,La Nina,GFDL-ESM4,3,1894
1894-04-16 00:00:00,0.39274276651034723,10.614971913376621,-0.7938841933685467,La Nina,GFDL-ESM4,4,1894
1894-05-16 12:00:00,1.135748321763635,13.034279314490675,-0.6906205956614031,La Nina,GFDL-ESM4,5,1894
1894-06-16 00:00:00,0.24072336359710741,18.227466597353384,-0.6340063360128851,La Nina,GFDL-ESM4,6,1894
1894-07-16 12:00:00,0.04234849628051999,23.55290818067482,-0.7451588992835354,La Nina,GFDL-ESM4,7,1894
1894-08-16 12:00:00,0.40579869699103616,21.064939093435214,-0.8615239631523195,La Nina,GFDL-ESM4,8,1894
1894-09-16 00:00:00,0.24045925160923515,20.23667945602739,-0.9684952358143164,La Nina,GFDL-ESM4,9,1894
1894-10-16 12:00:00,0.35432214933680317,15.10848236058257,-1.1057504877993551,La Nina,GFDL-ESM4,10,1894
1894-11-16 00:00:00,2.2519583500984663,7.846156937316209,-1.0470848369894725,La Nina,GFDL-ESM4,11,1894
1894-12-16 12:00:00,2.935673931996997,4.113449835337235,-0.9365242947119441,La Nina,GFDL-ESM4,12,1894
1895-01-16 12:00:00,0.921911100315961,5.027841195430881,-0.8756677928947625,La Nina,GFDL-ESM4,1,1895
1895-02-15 00:00:00,4.212249414133522,8.176130458406988,-0.6974519258927557,La Nina,GFDL-ESM4,2,1895
1895-03-16 12:00:00,3.247352930811072,6.875124141190099,-0.4669120557189103,Neutral,GFDL-ESM4,3,1895
1895-04-16 00:00:00,0.7333455909581021,9.827766299036966,-0.42969482643687795,Neutral,GFDL-ESM4,4,1895
1895-05-16 12:00:00,1.9024499419004377,12.034391662222902,-0.3438483674915688,Neutral,GFDL-ESM4,5,1895
1895-06-16 00:00:00,1.43079621362738,17.320862160964282,-0.15844884402868048,Neutral,GFDL-ESM4,6,1895
1895-07-16 12:00:00,0.1994249636133131,20.99058179794349,-0.08593088565316975,Neutral,GFDL-ESM4,7,1895
1895-08-16 12:00:00,0.46184633873611847,22.473576890353172,-0.07554337887676184,Neutral,GFDL-ESM4,8,1895
1895-09-16 00:00:00,0.23923398403976193,19.159109682342603,-0.008940068977085502,Neutral,GFDL-ESM4,9,1895
1895-10-16 12:00:00,0.887946310730249,11.94933317089118,0.041577466394471685,Neutral,GFDL-ESM4,10,1895
1895-11-16 00:00:00,1.160216498321765,6.088298104010619,0.0620271661001766,Neutral,GFDL-ESM4,11,1895
1895-12-16 12:00:00,1.7656377297893853,5.469981938960473,0.13628448526810644,Neutral,GFDL-ESM4,12,1895
1896-01-16 12:00:00,3.7876155817701935,2.7339842330999318,0.34605779563663647,Neutral,GFDL-ESM4,1,1896
1896-02-15 00:00:00,4.843926903734346,5.475752315045668,0.523877563578003,El Nino,GFDL-ESM4,2,1896
1896-03-16 12:00:00,2.5393596193405625,7.923816215007207,0.5459064976385548,El Nino,GFDL-ESM4,3,1896
1896-04-16 00:00:00,1.8047478233095398,9.690680203678198,0.5001509758055136,El Nino,GFDL-ESM4,4,1896
1896-05-16 12:00:00,2.204319175219212,12.61415647257337,0.3891874464994089,Neutral,GFDL-ESM4,5,1896
1896-06-16 00:00:00,0.819122833294131,17.111826865832597,0.17464382529802833,Neutral,GFDL-ESM4,6,1896
1896-07-16 12:00:00,0.13937402426636675,21.916470052598413,-0.12081652526881044,Neutral,GFDL-ESM4,7,1896
1896-08-16 12:00:00,0.05164949765900828,21.96913757088049,-0.3807230640364878,Neutral,GFDL-ESM4,8,1896
1896-09-16 00:00:00,0.525857469115085,17.873887600283695,-0.6633793704646564,La Nina,GFDL-ESM4,9,1896
1896-10-16 12:00:00,2.2357707211835893,12.32829716764644,-0.9585254687275893,La Nina,GFDL-ESM4,10,1896
1896-11-16 00:00:00,2.808301033529238,7.762251279016311,-1.167455262450403,La Nina,GFDL-ESM4,11,1896
1896-12-16 12:00:00,7.422399307696174,5.484765015329913,-1.298492035234392,La Nina,GFDL-ESM4,12,1896
1897-01-16 12:00:00,1.3965645943393843,1.618544719067586,-1.3542161865653157,La Nina,GFDL-ESM4,1,1897
1897-02-15 00:00:00,4.917973635754064,5.335400781663566,-1.291473578531793,La Nina,GFDL-ESM4,2,1897
1897-03-16 12:00:00,2.8458084114386293,6.909479894699928,-1.2041843097487004,La Nina,GFDL-ESM4,3,1897
1897-04-16 00:00:00,2.154621336381725,10.177521393271206,-1.2279378963508178,La Nina,GFDL-ESM4,4,1897
1897-05-16 12:00:00,0.5932992622539859,14.10252830479783,-1.1506648013096423,La Nina,GFDL-ESM4,5,1897
1897-06-16 00:00:00,0.5142371903631928,17.18267196583372,-1.0257205070598843,La Nina,GFDL-ESM4,6,1897
1897-07-16 12:00:00,0.0649774273320992,22.55729076393129,-1.018475303395394,La Nina,GFDL-ESM4,7,1897
1897-08-16 12:00:00,0.03645293311685566,22.639899466834663,-1.1636352604064768,La Nina,GFDL-ESM4,8,1897
1897-09-16 00:00:00,0.32353475547415445,18.278302819097746,-1.353338823374861,La Nina,GFDL-ESM4,9,1897
1897-10-16 12:00:00,1.0158635391013355,15.315271719494717,-1.64206484422607,La Nina,GFDL-ESM4,10,1897
1897-11-16 00:00:00,0.7836804695390008,7.077185039875246,-1.9528486006611387,La Nina,GFDL-ESM4,11,1897
1897-12-16 12:00:00,3.2386024293120896,4.27162707191377,-2.1247924885044656,La Nina,GFDL-ESM4,12,1897
1898-01-16 12:00:00,3.264021601247272,4.901440967468261,-1.9960878085472473,La Nina,GFDL-ESM4,1,1898
1898-02-15 00:00:00,0.33638425494447705,5.833733764647263,-1.6347268919883504,La Nina,GFDL-ESM4,2,1898
1898-03-16 12:00:00,0.8220487895194086,9.739981954070345,-1.3876218778765974,La Nina,GFDL-ESM4,3,1898
1898-04-16 00:00:00,0.9927706363598994,11.921398417974274,-1.0860999459466256,La Nina,GFDL-ESM4,4,1898
1898-05-16 12:00:00,1.453801326624998,14.438211310129645,-0.8206404482597349,La Nina,GFDL-ESM4,5,1898
1898-06-16 00:00:00,0.9276287113055063,17.04126674968495,-0.6275261703456636,La Nina,GFDL-ESM4,6,1898
1898-07-16 12:00:00,0.10984179884280328,23.788595128680072,-0.5541319402832755,La Nina,GFDL-ESM4,7,1898
1898-08-16 12:00:00,0.10393451632760259,23.057783046521138,-0.39461801321162965,Neutral,GFDL-ESM4,8,1898
